Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Feature100,Target1
1.263804988658491668e+00,-1.700409446809291403e+00,-3.155171724696884117e-01,4.534760183045890569e-01,-1.226316904911049166e+00,1.214174404229846793e+00,1.203993549601394930e+00,-3.759937470063761111e-01,-1.541848195655709963e+00,-8.558844138725270334e-02,4.032333277114024672e-01,4.989961222838758537e-01,2.521598201081855506e-01,-1.349755032134567267e+00,-1.287723719177827075e-01,8.568918299979275677e-01,1.574046738714700799e+00,6.615341433607276889e-01,-4.574358225616920182e-01,-8.182194333312639012e-01,-5.819038549678396954e-01,-1.532971339737740635e-01,1.677938601269335361e-01,2.609887309501869979e+00,-1.323123340181330709e+00,2.342108936347016557e-01,-4.214827596106890395e-01,-5.078652113194968010e-01,6.675715816436889050e-01,1.102956202060778157e+00,-1.272541047941179448e-01,-7.066768277037346890e-02,-7.267576099023542735e-01,-3.993384260508379274e-02,9.271953230297430570e-01,-5.072907435317856872e-02,2.809249445101598130e-01,-1.164133082196744801e-01,-1.211285134075324316e-01,1.145944336179371970e-01,1.739050295889186470e+00,-9.711235415284073802e-02,-1.734186943100940459e+00,1.062511613795369181e+00,-1.581604062414646017e-01,2.430345931974270748e-02,-1.745502116513597546e-01,-1.168411160981974450e-01,6.483493850081745169e-01,-1.227563304123754806e+00,1.929851354242203554e+00,2.195800357483466414e-01,-6.302958810359433617e-01,-3.767374452994539102e-01,1.501088187904651816e+00,1.945296323333708166e+00,-5.371990032316737995e-01,-2.003704308377725340e-01,-2.040790299847115463e+00,-2.457411602911760973e-01,2.162102117189896422e+00,1.779657526702124182e+00,-1.341162663908181729e+00,-1.497298042321299372e+00,-9.977289801390440971e-01,-1.889965481585327844e-01,-2.593966170405514471e-01,-9.398316078781846494e-01,9.545980822378933306e-01,-7.370152394252642569e-01,-1.059201878060771485e+00,5.990763598465747020e-01,5.518578344650516554e-01,-1.150278702229406758e+00,2.098393674019600752e+00,4.346287872726772167e-02,1.256768983228819359e+00,2.351754595207912413e+00,4.815312379049928038e-01,1.460978950493463380e+00,-8.398221633481258719e-01,-1.572289675909847306e-01,2.919063680226916535e-01,1.775143516785390452e-01,-2.565805660148614109e+00,-1.079753883397420511e+00,-7.410816728850196933e-01,1.351081880775670818e-01,9.220636660710820331e-01,-8.050824092974981916e-01,-1.468642897622848720e+00,-2.852744031916240597e-01,4.187212709032581137e-01,8.008356875000736119e-01,1.546487047866987596e-01,2.032386834865850533e-01,6.876760308307272584e-02,-1.745242758828866314e-01,3.730069765987876762e-01,-6.389258037325279416e-01,0.000000000000000000e+00
5.555218322970069122e-01,1.454516394920958744e+00,-1.412524831605263653e+00,-8.413016490325272434e-01,-3.503127188939570424e-01,-1.222201199903163893e+00,1.763641722427964798e+00,-2.312703491239413545e+00,1.037107647704045510e+00,1.138323426852335257e-01,-2.610388726608374732e-01,-3.592137688787333527e-01,1.295787712061188257e+00,1.950220993047456775e+00,-2.384934151914348099e+00,5.657912601267960362e-01,-7.397205680046161635e-01,-6.623814182771164960e-01,-1.458559383126522890e+00,-5.326256991605232693e-01,9.390728753078878555e-01,1.701853333730158013e+00,9.146863636781357165e-01,5.735761103315286658e-01,-1.799108603032714138e+00,9.993839195829969935e-01,-1.083673174543639428e+00,-8.688615214843372625e-01,2.528601905832441155e+00,7.599681591503002452e-03,6.964056601980063155e-01,8.213313941280824260e-01,-1.039953847059212677e+00,1.112667078333217763e+00,8.610759221251194084e-01,-9.827714391857662601e-01,-4.732416644028052954e-01,-8.621342890190450969e-01,3.258644171505842291e-01,1.137903708053265239e+00,-3.173732368326240283e-01,8.078718204752476373e-01,4.184088331326438759e-01,1.325308187906861335e+00,-1.096853029685535136e-01,-6.422991926006293983e-01,-1.464845119922668415e+00,6.216194179019033372e-01,2.461755655771498685e-01,-8.208199852740659663e-01,-1.527701184767622095e-02,-2.515117782973309346e+00,-8.170792696862465565e-01,1.043894760226148077e-01,9.377830319673681192e-01,-1.227487273092172870e+00,-3.176829578043134650e-02,-1.556836856877868158e-01,2.229795858710522882e+00,2.793818303253588486e-01,-1.093005952804306347e+00,-1.167097238791683367e+00,4.190502180522415743e-01,-3.238717049197610831e-01,8.152285052403914767e-01,-1.359963956957136455e-01,-1.653355114757963484e+00,1.599443538414919708e-01,-1.009115677845102033e+00,-2.366403635644607206e-01,6.332815817617065690e-01,6.530546156687788706e-01,-1.345482190805610268e+00,-4.955999988593726702e-01,-2.595895486007350428e+00,6.735898797401179694e-01,2.936683213666632652e-01,1.044194011103075415e+00,-7.526358482736910105e-01,-1.026767881016986232e-02,-6.342550324379572224e-01,1.157289366710532313e-01,1.191730350148801465e+00,-1.240076792112501103e+00,-2.482701936680173013e-02,1.880086832437647848e+00,5.107352300717942217e-01,5.224634187598644619e-01,-2.459996763422264809e+00,-4.739748557977552929e-02,-6.219030813834631743e-01,-1.311052583444757058e+00,2.354884741770162659e-01,-6.953651444816900673e-01,-1.402742402747787054e+00,7.491957789067694995e-02,1.643856930389754334e+00,1.189411610830587440e+00,-1.311140180716596326e+00,-1.751531141082671272e+00,0.000000000000000000e+00
1.054265704507977519e+00,2.642677625751027048e-01,-1.205311126683597189e+00,1.140981038823272842e+00,-1.460358903972905686e+00,-1.231627038525729967e+00,-1.754422248133637785e+00,-7.976117523234333984e-01,-3.684642927596039619e-01,1.122607372986080820e+00,-1.978713774828191552e+00,9.028210080504929513e-02,5.934621390355989679e-01,1.703069123333372792e-01,-6.464222483116108808e-01,-9.184829460862754535e-01,1.774308193143190604e-01,-1.690230220153732921e+00,1.039796866397962649e+00,-2.310055873235583146e+00,-7.515771198795204722e-01,-2.337691853572200884e+00,-5.076743813773032521e-01,-4.545907611069603393e-01,-4.839757162044839300e-01,2.426356406226866658e-01,-1.703846915661796357e+00,-1.554839944268899266e-01,-1.704009677326568939e+00,-4.944473262011617742e-01,-6.623916784340835306e-01,-4.398359562180796378e-01,1.748926472384542796e+00,-1.358798623972239661e-01,-4.348754787937114119e-01,8.609022087571270854e-01,1.020259039476354879e+00,1.040368339045571355e+00,-1.385326481999411330e+00,-1.038614352356583143e-01,2.026240264782577238e-01,8.975483640760208992e-01,-6.114267019535460923e-01,-1.409781546070903335e+00,-1.131512914373186796e+00,9.151928952325566469e-01,1.626967845752729236e+00,-5.179620135544962256e-01,1.235813245700263741e+00,2.167074892268235631e-01,-1.955720207630641180e-02,7.780463611081127606e-01,-1.135333280434402736e+00,-2.278074441480533174e-01,1.016946343887930482e+00,-1.063042927585333003e-01,-1.311631512678927691e-01,-2.396005439164341499e-01,4.455762157739817098e-01,-5.389991043344528610e-01,-4.275770882728038291e-01,2.226665428122801271e-01,1.084595160683081927e+00,-1.040960306183510709e-01,-2.117721580022206673e+00,-8.091299939141060049e-01,-1.147144689352038283e+00,-2.254287369241418371e-01,-3.523421827365272319e-01,1.489771227445758073e-01,3.282055715096057757e-02,5.628860318705893873e-01,7.228752776940784441e-01,-1.288092258834794501e+00,6.959838631911804407e-01,-1.835438100773005399e+00,-4.011185281764099164e-01,1.106519396562173768e-01,-5.111671221259806996e-01,-1.038737751520692587e+00,-1.268328585630845023e-02,-1.015296305768480289e+00,8.028458356554327713e-01,1.335723556936684389e-02,-9.333853144064208074e-01,-1.287934427556561623e+00,2.240128873867664794e+00,1.438691261030512758e-01,2.544636685510016649e-01,1.768609718692666366e+00,8.055750541632065165e-01,-1.580191005610789734e+00,1.942605119734319430e-01,6.347402248317707274e-01,-1.581072755442852973e+00,6.368556603169288621e-01,-3.923905716275040145e-01,-1.247794874418749034e+00,1.206625027300892050e+00,1.747853920738992484e+00,1.000000000000000000e+00
-1.189430270604222128e+00,-7.653492454904049780e-02,1.356652196107952957e+00,2.122744588478310490e+00,-2.631559713466923717e-02,2.379232836882740010e+00,-1.366425413135375466e+00,1.127306010608214448e+00,2.675343214712012085e-01,4.328519740684793060e-01,-1.384988481868623111e-01,-9.957588363212617200e-01,1.450410997091334808e+00,-1.507401114590535274e-01,-5.644386168884562016e-01,-3.030841821095494812e-02,6.295785044050465906e-01,1.256054542237721838e+00,-2.534163294853416737e+00,-4.755611950578462199e-01,1.271950892681867229e+00,-8.024127690253886058e-01,1.165800149981003786e+00,-5.154917924917133965e-01,-7.490790026543684421e-01,8.946248076315628517e-02,-1.477799700747714495e-01,-3.369225893674427930e-01,-1.888931573914893747e+00,7.537636208148800199e-01,1.860099596989249759e-01,2.647556431247755082e-02,1.214253452276768952e+00,-4.832358512623655677e-01,2.027107534424214208e+00,1.707566686321088323e+00,-1.238994688264738686e+00,9.614298319856809938e-01,8.923626192094477050e-01,1.004890391979020581e-01,5.566792852417793425e-01,1.038256237406071092e+00,-6.945816029020295268e-01,-9.641899655899159871e-01,-1.329476373736451666e+00,3.664976935541830461e-02,-2.873914227238880681e-01,-7.496002709115603402e-01,-7.768770047593496209e-01,1.771599195329279508e-01,1.017487179503265837e-01,-6.005237310027840003e-01,1.109320587304690742e+00,-7.524948988673714201e-01,3.266722560619606530e-01,-7.889346134764870788e-01,-5.551304815685561556e-01,4.525543523494777315e-02,1.810410220922996416e+00,3.295147165108757714e-01,-1.043324703827065880e+00,-2.088338760899173252e+00,-8.663163309064830786e-01,-1.875426190338151722e+00,-1.413241416801992167e-01,1.257554989047720007e+00,6.812687641419103990e-01,6.611203217221526263e-01,2.907848362309968168e-02,2.183326175509400779e-01,1.250661321178154095e+00,-8.393206102862429963e-02,-6.841650057435380017e-01,-7.599399903207308959e-01,-2.505889675672878791e-01,1.158638950973931880e+00,1.942609378515115726e+00,-1.226720681617368580e+00,2.098385587296525134e+00,-1.029065201505253935e+00,-7.931482044937911979e-01,-4.124349778384243104e-01,1.088609289696419180e-01,8.573602909911582914e-01,-4.446044667990439181e-01,-1.865244972232289189e-01,1.122136601563513414e-01,7.046129442393540138e-03,1.857622494246624067e-01,9.970339612702387999e-01,-5.826900893905209156e-01,-1.822900299729612317e-01,-2.826263222506931183e-01,-3.728679192841272139e-01,1.151644352340384536e+00,6.460083074216464993e-01,-8.302957152483610992e-01,-1.581884269729743331e-01,5.088207329182187211e-01,4.763677437157594619e-01,1.000000000000000000e+00
1.395704419644028915e+00,7.908762607777105602e-01,3.155450957067099799e-02,4.167747572387621724e-01,9.381926146237218322e-01,-4.071181609965016102e-01,3.741379361055729436e-01,1.255138327305886037e+00,1.372167770586321778e+00,6.803632047647757697e-03,6.934131279039508211e-01,-1.018244116555963169e-01,-2.024257562678187239e-01,2.664611514481043594e-02,2.453961863876683858e-01,-3.719193985667784003e-02,3.049325686175036854e+00,7.452659733401378883e-01,4.492118375800113750e-01,-5.031130782049023642e-01,-1.153425961180962300e+00,-1.193729335641582567e+00,-1.567256968292678465e-01,6.919595812646158750e-01,8.582317497430579090e-02,1.307872223398453881e+00,7.169515317880487126e-01,1.986006391403288551e-01,1.310789337234675722e-01,-1.081897236801463436e+00,-1.180088156658827936e+00,-4.018515263951834560e-01,8.171921260568637546e-01,-7.581306509721447151e-01,6.837603940463239660e-02,2.398359655542728064e-01,3.439614597322362965e-01,-1.622631828213396243e+00,2.483216336612899811e-01,5.984432758145975528e-01,-5.418404528507274609e-01,1.306812877462708300e-01,-3.025356776265546999e-01,-4.481698016285478592e-01,-4.512442942393875556e-01,-1.324152837541860750e+00,4.102612064486257371e-01,1.171467923968767089e+00,1.017425067413773254e+00,-6.488339285658539790e-01,1.381503805915304639e+00,-1.393041019931464675e-01,3.507175418499005048e-01,-6.198001131101907868e-01,-1.890027121326075754e+00,4.012138453819530604e+00,-1.340735741940412673e+00,7.125902001330808311e-01,7.406446903558236428e-02,8.630862029446166872e-01,4.040001103763669832e+00,-4.223397697970866504e-01,-2.115336098260699238e+00,-1.921507433183977209e+00,7.846305440058761738e-01,-1.286675706438439315e+00,-1.333287328250258863e+00,1.571734517814332488e+00,1.370196728862519864e+00,1.621853362767748719e+00,-2.313325846061321300e+00,8.412130614640028758e-01,-2.754032912193427607e-01,-6.466378438417313967e-01,5.910757228428303867e-01,1.070459470312461886e-01,-1.389806256626493264e+00,3.419690960305073191e-02,-1.043446381530744871e+00,-3.803936226261526721e-01,1.839106531420305335e-01,6.511533258052151774e-02,-1.537616574496973865e+00,1.006930718125881308e+00,3.143958419506557855e-01,-6.730329360161680929e-01,2.085852534306248618e+00,6.659347232288281848e-01,3.724332271796701455e-01,4.599678176243232053e-01,-6.672550018540792660e-01,1.390058466562043571e-01,2.200037563782517136e+00,-4.962382803380747109e-01,-6.913272846805951222e-01,1.302039105333274049e+00,3.843306108970431789e-01,-6.198633920496982030e-01,2.432013813307516426e+00,5.549140256785378700e-01,0.000000000000000000e+00
1.134045959101096734e+00,6.210549926171428370e-02,4.486570613451138501e-01,1.348364436698690660e+00,-8.472099097670678924e-01,-2.364138060708944167e+00,-1.099106348776739822e-01,-5.565978441301313445e-02,8.642841297411052448e-01,3.034447868032509321e-01,-1.117725942601764721e+00,-5.793940168996963846e-01,-1.025299631037279058e+00,6.027758774397112829e-01,-1.813999428407683800e-01,2.061765276235880240e+00,1.651374422514942486e+00,-5.724027111442324678e-01,1.600809053464773146e-02,-1.771344090081490519e+00,-2.929045681056061719e-03,-7.209590721602946450e-01,1.245122931634416036e-01,4.822023465070436332e-01,-9.457573524062286340e-04,1.320053604905834232e+00,-1.334087239413639103e-01,3.205362976354650395e-01,1.211851760051950500e+00,-7.317303515525889201e-01,3.113834565590978820e-01,1.979667090391791784e-01,1.471743222350276881e+00,5.199217108539733179e-01,1.692705865264847009e+00,-5.764548839446094197e-01,-1.254999159137482945e+00,1.224792098329093859e+00,3.038035798981467694e-01,-5.949495836056766240e-01,-1.687087848584653660e+00,4.511200624075764609e-01,1.118820417730042482e+00,2.115738687428118936e-01,-5.714919611434303715e-01,8.447682723172803554e-01,-1.032826228309228211e+00,-6.131908848129967726e-01,-1.071231436373032198e+00,-1.214414161591989838e-01,-5.225039909158762930e-01,1.920437860075554504e-01,-5.251495827582487452e-01,-5.184523678722748885e-01,1.567671514391055343e+00,1.606762975439770980e+00,-8.684849496584388095e-01,6.005723767747683794e-01,5.759877557705360696e-01,5.642825785566353280e-01,1.410732113328417414e+00,-1.754584647042185530e+00,7.743551185696233574e-01,1.571864570257718530e+00,3.852215057467692216e-02,-1.191437090626184803e-01,-4.361872456097860562e-01,1.159094305798514579e+00,1.595037959027273411e-01,1.553286665067167505e+00,6.179469807851570851e-01,1.028907345580491794e+00,-8.082281259771612048e-01,-2.466515484425890470e-01,5.951035790332127595e-01,-7.081933810545854024e-01,-4.113954659242493456e-02,4.275343997366971016e-01,-1.785035419631177955e+00,-1.575969613047799034e-01,3.327965813516725602e-01,1.768436327594257396e+00,-4.516503504928344181e-01,-1.541236267597818177e+00,1.274627692812916102e+00,-3.448979176863677942e-01,7.575574166557369482e-01,-3.068249610326381771e-01,1.122991270908049843e+00,1.667692966911903385e-01,1.157402781311480222e+00,-9.759037823943731427e-01,5.207286049910359038e-01,-1.421929626028370475e+00,-9.670109615254453006e-01,9.263616207258811297e-01,-1.204473389340956269e+00,-4.023731632611385334e-01,1.795559554244908984e+00,-6.438353813566313200e-01,1.000000000000000000e+00
-3.949821987086017949e-01,-1.368553306242982215e+00,-5.151829658892728009e-02,1.190442198550476727e+00,-1.480889055036535007e-01,6.102308267993817870e-01,-3.840411865405434777e-01,-1.034380151846146373e-01,-7.856744754200660763e-01,1.245800015959958040e-01,2.324191936418239735e+00,1.667803512773801788e+00,4.015067867709737337e-01,-2.288792790341459826e-01,-1.164660188152855380e-01,-1.068520835071487679e-01,-1.079464819113894053e-01,8.132696025037208232e-01,1.041704265136617735e+00,-4.751650641291518817e-01,-4.033440298813907310e-01,3.936049731456738865e-01,-2.374759652332636861e+00,-8.887515967220014357e-01,-2.624257567505012267e-01,-8.868378088444854868e-01,1.436878110843685941e-01,2.669454597858588185e-01,5.566450396167288428e-01,-1.561777083342269279e+00,6.441672507766740274e-01,4.899860434846842194e-01,2.122928510260536417e+00,-1.861083481863024636e+00,9.238270424991050778e-01,-1.675183375796830409e-01,-8.284639236414436114e-01,-1.797376924976494150e+00,-6.849721609592602789e-01,1.155442041564854888e-01,-1.396600480577137926e+00,-8.042119918010323110e-01,-2.386301054406368347e-02,-2.910670591347085390e-01,-5.391431060051088409e-01,3.574217717121577070e-02,2.014354605498473116e+00,-6.633766363509688846e-01,7.703539814165333288e-01,-8.202961771138947977e-01,2.022506583119965118e+00,1.598113060793775464e+00,-3.944619681055296367e-01,-5.956533835723388792e-01,3.324908130351011959e-02,2.084875490057459757e+00,6.206943022069293381e-01,-5.134338044110998284e-02,1.566808066954604506e+00,-1.889419671187087424e+00,1.791907796830304544e+00,-2.270683573305317005e+00,3.909885389220413843e-01,1.270350451754208854e-01,-3.452775005734322611e-01,-3.835499696047201534e-01,7.667090680581564177e-01,2.168630283940446990e+00,-4.802497536365621933e-01,1.244811219123547197e+00,-9.386867178445017224e-02,7.301399225439630936e-01,2.270655131513132474e+00,5.847235444016767314e-01,-1.867707644372179399e+00,4.388331509107357142e-01,-3.112625060386383091e-01,1.425304512065299952e-03,-2.880354610882777777e+00,1.022662394847589917e+00,-1.060395374778494881e+00,1.234409596336883963e-01,1.324205805446487250e-01,-1.077005624417068486e+00,-1.610601543716538020e-01,-1.253756868776083166e+00,3.158451412437655037e-01,-1.004338892037925257e+00,1.369538624856865949e+00,-6.586142071189307057e-01,-1.629651551553559230e+00,-4.877255490407607641e-01,8.407748287616682026e-01,8.196158397426603903e-01,-7.383732262701320215e-01,2.047663988212762742e+00,2.049694206155137088e+00,9.904925246545223105e-01,2.482938478361130574e+00,5.736991652506449046e-01,1.000000000000000000e+00
-1.627732791442642268e+00,1.282593112486582365e+00,-2.243722263560561647e-01,1.586740434167843716e+00,4.874619914970111378e-01,-1.402539428715374514e+00,3.869772312147379822e-01,2.593532935078009527e-01,7.671688086727158629e-01,-1.886187530843716764e-01,-8.151863849763972825e-01,-7.573393183414650620e-01,1.164631783407152010e+00,-5.849781791626778027e-01,-1.186098320767749792e+00,-3.637978764693079459e-01,1.559614387338346120e+00,-1.667911974411801168e+00,9.822217210983269498e-01,8.150726084614017264e-01,-4.092452120308255892e-01,-2.348806145269784207e-01,-1.340796163526825069e+00,2.710532358417888088e-01,-1.248522912292728160e+00,-1.788518477080432323e+00,1.333678978510159707e+00,1.658380543838011978e-01,1.025346109490894664e+00,-2.725006006879354681e-01,-1.754890474686640944e+00,1.703829949718290715e+00,-4.451148982518216002e-01,-1.174703822732156455e+00,3.569259965312076566e-01,-3.952368757558723522e-01,1.197757222149187006e+00,-4.848930874591064755e-01,-4.530940663079113806e-01,6.321177156280733955e-01,4.852464436419057781e-01,1.527706770594024765e-01,4.423972558344514416e-01,-7.051216585930980552e-01,-2.739207624381255202e-01,9.772579773038186923e-01,3.003188102357772227e-01,-6.967283908452650554e-01,-1.825499203036871965e+00,-9.395693348395124378e-01,-6.304160453901027639e-01,-3.833635343240470728e-01,-8.177000486829467674e-01,-8.580433444980473112e-01,-2.972773995972213812e-01,-2.520493463255989441e-01,-5.296666378300374234e-01,7.185264876616388463e-01,7.196304696403588164e-01,-4.909371521437079222e-01,-1.825126882807197592e-01,-2.628149450196131554e+00,-1.147051641424594814e+00,6.543181664942374631e-01,6.548362215214040827e-01,1.110876427242099007e+00,4.191471691014820866e-01,7.176416018341812419e-01,3.050963118900294757e-02,1.029458836937994226e+00,1.057030070551798762e+00,-1.990480181925819547e+00,-3.725011926678264418e-01,2.912154550296661149e-01,8.213407033774101640e-01,-8.312641011666740409e-01,6.706801117978078430e-01,4.660653060500476452e-01,-9.749694731670165426e-01,-9.194549110777616718e-01,2.727315220890700886e-01,-2.090908819044982880e-01,1.828349074256434836e-01,-5.754866593501971606e-01,-1.102243023627524465e+00,8.292962209189544964e-01,1.618258776840310886e-01,-6.851266673770337046e-02,-3.102475539815304773e-01,-1.557159339025140365e+00,1.552649145395081642e-01,-7.786913864056506374e-02,-1.260884416766968386e+00,7.484855998741256622e-01,1.416104284996265728e+00,1.740083314913398960e+00,1.708581922452856672e+00,-5.046754247094216161e-01,-4.354682168501798900e-01,-1.076744099208590155e+00,0.000000000000000000e+00
1.123370919391583511e+00,2.654492827787238607e+00,6.314688690204119936e-01,-2.368697683407995289e-02,2.045264675520515885e-01,2.917467844603997551e-01,-2.557493962660623565e-01,7.523182616804757750e-01,1.129888398701947017e+00,-9.595790484080412019e-01,1.228094630595762515e+00,2.499151349663494004e-01,7.648423848682209814e-01,-1.911605626506186484e-01,2.483449385716216984e+00,1.153673464641016277e+00,9.949512668082465261e-01,1.085980192492723290e-01,5.471078841415052407e-01,-5.518272843636561342e-01,3.048982270088459456e-01,-1.162161182647292401e+00,9.391929998360062370e-01,-2.935165743720094422e+00,-3.510955974998304363e-01,-3.179091163575291368e-02,-1.571341787193570039e-01,5.395146080258055726e-02,-1.808653026790806528e+00,-1.106131886617479632e+00,-4.980289544767422250e-01,-8.996400240301947182e-01,1.460942948980306300e+00,-6.349129654672865941e-01,-2.249683897790540232e+00,1.137160964122385876e+00,5.459935039748308183e-01,-3.325984062120602158e-01,-2.340318705431164992e-01,2.819495158039417304e-01,7.727792283662526795e-01,1.186017194902701410e+00,-9.180369432083846926e-01,-3.648975547627220095e-01,9.940255873096910388e-01,-1.616224087727386183e-01,-6.879138468050084720e-02,-4.110339630983105286e-01,-7.056326227260653061e-01,1.250813534282607220e+00,7.397772146496592871e-01,-9.057466990995861611e-01,-1.162607997843687402e+00,3.339211790993977247e-01,-1.192749738774519397e+00,1.468273335761697496e+00,1.578119267039514995e+00,-2.247706945274648427e-01,2.822836500276292848e-01,-5.447965217140758876e-01,1.268129412579044102e+00,-6.274787325746121747e-01,1.226609891657340246e+00,-1.025713637339458417e+00,-7.846804165630872491e-03,-7.917345717880045486e-01,2.528293886548331759e-01,-2.869160242440050190e+00,3.462697213158729137e-01,4.817900826857353658e-01,-1.429537205141807876e-02,5.722233859651221222e-01,1.044101353142345534e+00,9.627394089848718695e-01,1.151752269744999113e+00,1.467755639138519086e-01,1.310728712454280354e+00,1.616430079407980669e+00,-1.658770473134411283e+00,1.728632430394497210e-01,-1.247479859200368302e-01,-7.852812585295448899e-01,-1.049908730161143305e-01,9.272098319153350143e-01,-1.392023254930158105e+00,1.179229909007888932e-01,2.601344687786913967e-01,-9.648372189033353752e-02,-2.330982380017274092e-01,7.329994806979417410e-01,-1.310718758835064168e+00,7.546882625539583778e-01,5.908301755074167882e-01,-2.652287829026257482e-01,4.932527155074268310e-01,9.112494395214516540e-01,7.760117203923044826e-01,-8.070739751263533712e-01,1.724108466740614354e+00,3.990722338429564253e-01,1.000000000000000000e+00
-3.655520378585973562e-01,-1.171318079646555654e+00,-9.390084441137930282e-01,-1.163645542418928480e+00,-1.592586364251160846e+00,1.199712158010620699e-01,-1.779052303486998721e+00,1.256171750135754550e+00,6.903854657519263860e-01,-3.494047994844906579e-01,4.220351654238748557e-02,3.364687671994305296e-01,-1.516059933386423086e+00,-4.632772589483613035e-01,8.337258516207640691e-02,-7.911046758020949532e-03,1.808167880058127452e-01,-7.525809403113766782e-01,7.956207048196111895e-03,1.339506188892701566e+00,-3.469925334893411706e-01,-1.311544491665475265e+00,2.018834784251247960e+00,5.018853306953707794e-01,3.659832299592800098e-01,1.541377897875237490e+00,-4.119295987107946533e-01,1.691145945739006839e-01,1.371918179362329460e-01,-1.200226604737465230e+00,-1.100534170498091296e-01,-3.938673408703622925e-01,-5.499227043554322236e-02,4.968658733138022199e-01,1.782168750185248118e+00,-6.321007773525234574e-01,-7.833818382684035742e-01,-9.600688064216096329e-01,-7.097558186700646254e-02,-9.833743429774223221e-01,3.008803894131151235e-01,-6.087762249951220728e-01,-9.304233163370057014e-01,-3.627780648181725409e-01,1.175770499915770317e+00,4.810813666672090760e-01,1.399891045005310586e+00,-2.962240748156766301e+00,-2.793305519876745358e-01,-5.097853377848757805e-01,5.907010114922618405e-01,3.932814251559615393e-01,1.507381698490289912e+00,-5.977138529016696733e-01,-6.096877191232011883e-01,1.950969998916334547e-01,1.038431131307077315e+00,3.263046614422666081e-01,6.507877554851480006e-01,3.276489906362092808e-01,2.136011304618987694e-01,-8.042606336278156354e-01,-1.172459761549486501e+00,1.945190040581832591e-01,-1.122240661377102988e+00,6.794693613014107791e-01,-4.838815693932440598e-01,-1.383750984700091169e-01,-5.136636201795483081e-02,-4.346498663100276660e-01,-3.500583937435186033e-01,2.535940260825957360e-01,6.893880314014677602e-02,9.756684206424345307e-01,1.818806122210272214e-01,-1.328139027614542167e+00,1.076534846662884126e+00,1.204496778766078080e+00,-9.565629069662828429e-03,4.939456227268180233e-01,-1.431188157239146053e-01,2.585115127853436778e-01,-2.572110477321838951e-01,3.643631032584825902e-01,4.494643060807744783e-01,1.565577075344668223e-01,1.500866711440811962e-01,-7.068522011413100881e-01,5.819926996877613501e-01,8.321187540008752048e-01,1.545771629145436532e-01,1.258010226071688553e+00,-3.393794066987139146e-01,-1.564642352304414785e-01,2.115913254084417439e+00,-1.878646431634044989e+00,-2.894818968089205580e-01,6.404926399365475087e-02,5.025627992194744292e-02,-4.874186962094045894e-01,1.000000000000000000e+00
